SKU,Store,Product,Category,Days_of_Cover,Annual_Turnover,Current_Inventory,Value_Tied_Up
S005 | P0012,S005,P0012,Clothing,3.6760911085825745,176.38497906121586,495,28073.210601915183
S005 | P0006,S005,P0006,Groceries,3.6301949004258076,180.59579035866022,491,27199.122995896036
S004 | P0001,S004,P0001,Electronics,3.587508640268589,186.73552382973136,497,27182.37136798906
S003 | P0009,S003,P0009,Electronics,3.531057049921116,183.0052686318647,496,26886.789384404925
S002 | P0005,S002,P0005,Groceries,3.4999896811474565,178.49667199886963,464,26126.976744186046
S002 | P0013,S002,P0013,Electronics,3.5165722206367973,176.51111439696388,472,26044.927715458274
S001 | P0005,S001,P0005,Groceries,3.537896380936723,180.42264967466997,471,25384.12296853625
S003 | P0006,S003,P0006,Furniture,3.2266939406692567,183.6322789360173,451,25381.73707250342
S001 | P0011,S001,P0011,Toys,3.3888716805022097,179.64630731625513,449,24417.338645690834
S002 | P0015,S002,P0015,Furniture,3.3107022571805116,177.01132691829707,433,23773.73764705882
S003 | P0020,S003,P0020,Toys,3.0315359217121487,184.14454010877637,417,23181.463543091657
S004 | P0003,S004,P0003,Clothing,3.243349993646491,173.3432906376195,419,23001.128235294116
S002 | P0010,S002,P0010,Electronics,3.0934533187896416,181.3925403924049,419,22983.16454172367
S003 | P0004,S003,P0004,Electronics,3.138475067246017,178.79770731237616,415,22860.663885088918
S003 | P0010,S003,P0010,Toys,3.0365814407274043,187.1263046078957,413,22760.317004103967
S005 | P0008,S005,P0008,Furniture,3.0552018720812595,177.8705206860148,409,22601.6812995896
S003 | P0005,S003,P0005,Toys,2.8502675318761383,189.61917388282953,411,22371.455294117648
S002 | P0001,S002,P0001,Groceries,2.8619609618958672,190.1500228536042,415,22286.209644322844
S002 | P0019,S002,P0019,Clothing,3.1025683598816998,180.1445582586428,409,22285.134322845417
S004 | P0008,S004,P0008,Electronics,2.898110215409013,179.73106976418234,390,21879.30943912449
S005 | P0013,S005,P0013,Toys,2.7921036094418916,179.17922713929713,389,21423.246402188783
S004 | P0010,S004,P0010,Toys,2.772238106584068,179.3773510340891,382,20894.762462380302
S003 | P0018,S003,P0018,Electronics,2.840467530852684,178.61698189746974,375,20548.27120383037
S002 | P0003,S002,P0003,Clothing,2.7968774105958225,177.24607677631383,372,20464.814117647056
S002 | P0002,S002,P0002,Electronics,2.8263811435794484,176.4362513285787,364,20397.379863201095
