SKU,Store,Product,Category,Current_Inventory,Reorder_Point,Safety_Stock,Avg_Daily_Sales
S002 | P0007,S002,P0007,Clothing,53,324.0,186.0,137.62106703146375
S004 | P0015,S004,P0015,Groceries,56,317.0,179.0,137.70725034199725
S005 | P0007,S005,P0007,Toys,59,323.0,185.0,138.43775649794802
S002 | P0009,S002,P0009,Toys,62,329.0,185.0,144.1532147742818
S004 | P0019,S004,P0019,Groceries,65,319.0,182.0,136.52257181942545
S001 | P0003,S001,P0003,Clothing,69,318.0,177.0,141.4404924760602
S001 | P0016,S001,P0016,Electronics,74,310.0,177.0,132.9329685362517
S004 | P0018,S004,P0018,Electronics,83,300.0,171.0,128.62243502051984
S004 | P0012,S004,P0012,Clothing,85,304.0,172.0,131.77428180574555
S005 | P0016,S005,P0016,Groceries,96,323.0,184.0,139.29001367989056
S005 | P0003,S005,P0003,Toys,98,330.0,185.0,144.55129958960327
S004 | P0017,S004,P0017,Furniture,100,314.0,178.0,135.59917920656633
S003 | P0008,S003,P0008,Electronics,103,315.0,181.0,133.87688098495212
S004 | P0004,S004,P0004,Clothing,105,308.0,177.0,131.07250341997263
S003 | P0007,S003,P0007,Electronics,108,322.0,183.0,138.8016415868673
S003 | P0012,S003,P0012,Groceries,108,323.0,185.0,137.52257181942545
S003 | P0003,S003,P0003,Groceries,112,297.0,170.0,126.6155950752394
S004 | P0013,S004,P0013,Groceries,113,304.0,173.0,131.3939808481532
S004 | P0009,S004,P0009,Furniture,115,321.0,186.0,134.59644322845418
S005 | P0020,S005,P0020,Toys,117,322.0,183.0,138.6730506155951
S002 | P0004,S002,P0004,Groceries,133,317.0,179.0,138.4268125854993
S004 | P0007,S004,P0007,Groceries,134,305.0,175.0,130.38166894664843
S003 | P0011,S003,P0011,Toys,137,318.0,179.0,138.703146374829
S003 | P0001,S003,P0001,Groceries,138,304.0,175.0,129.4391244870041
S001 | P0019,S001,P0019,Clothing,149,316.0,181.0,134.73050615595076
S002 | P0018,S002,P0018,Clothing,151,324.0,184.0,140.19425444596442
S004 | P0011,S004,P0011,Electronics,155,316.0,176.0,139.7387140902873
S002 | P0011,S002,P0011,Electronics,156,315.0,179.0,135.62927496580028
S005 | P0011,S005,P0011,Furniture,156,314.0,177.0,136.5581395348837
S005 | P0004,S005,P0004,Toys,158,319.0,184.0,135.20656634746922
S002 | P0006,S002,P0006,Groceries,160,306.0,173.0,133.26675786593708
S003 | P0016,S003,P0016,Groceries,166,326.0,184.0,141.7797537619699
S001 | P0010,S001,P0010,Toys,167,307.0,175.0,132.3611491108071
S001 | P0009,S001,P0009,Groceries,167,308.0,177.0,131.43638850889192
S004 | P0002,S004,P0002,Furniture,181,301.0,171.0,130.44870041039673
S001 | P0018,S001,P0018,Furniture,191,319.0,180.0,138.81668946648426
S002 | P0012,S002,P0012,Groceries,193,324.0,184.0,140.25718194254446
S001 | P0012,S001,P0012,Furniture,213,297.0,169.0,128.39124487004105
S004 | P0005,S004,P0005,Furniture,217,314.0,177.0,137.22161422708618
S001 | P0002,S001,P0002,Clothing,217,303.0,172.0,131.03830369357044
S002 | P0008,S002,P0008,Clothing,218,305.0,176.0,128.8987688098495
S001 | P0001,S001,P0001,Groceries,223,316.0,179.0,137.3064295485636
S003 | P0014,S003,P0014,Clothing,230,330.0,186.0,143.89603283173736
S002 | P0017,S002,P0017,Clothing,236,308.0,176.0,132.31053351573186
S003 | P0017,S003,P0017,Clothing,239,321.0,178.0,143.0451436388509
S001 | P0020,S001,P0020,Electronics,242,322.0,184.0,138.3638850889193
S004 | P0020,S004,P0020,Electronics,249,312.0,176.0,135.83994528043775
S003 | P0019,S003,P0019,Furniture,253,326.0,183.0,142.9876880984952
S005 | P0002,S005,P0002,Furniture,253,309.0,175.0,134.3187414500684
S001 | P0007,S001,P0007,Electronics,256,321.0,183.0,137.8235294117647
S002 | P0016,S002,P0016,Clothing,258,317.0,179.0,138.24760601915185
S003 | P0015,S003,P0015,Furniture,270,316.0,178.0,138.3296853625171
S005 | P0018,S005,P0018,Toys,278,315.0,181.0,134.15047879616964
S001 | P0017,S001,P0017,Furniture,282,316.0,180.0,136.44870041039673
S002 | P0020,S002,P0020,Electronics,284,331.0,187.0,144.10807113543092
S001 | P0014,S001,P0014,Clothing,293,320.0,183.0,136.62106703146375
S005 | P0001,S005,P0001,Toys,300,307.0,176.0,131.0547195622435
S001 | P0006,S001,P0006,Groceries,305,311.0,180.0,130.6730506155951
S005 | P0010,S005,P0010,Groceries,308,319.0,181.0,137.55266757865937
S005 | P0017,S005,P0017,Groceries,313,316.0,179.0,137.28864569083447
S004 | P0016,S004,P0016,Furniture,314,321.0,178.0,143.33378932968537
S001 | P0008,S001,P0008,Furniture,315,316.0,179.0,137.1326949384405
