SKU,Store,Product,Avg_Daily_Sales,Std_Daily_Sales,Total_Units_Sold,Avg_Inventory_Level,Avg_Price,Days_Tracked,Category,Current_Inventory,Annual_Turnover,Days_of_Cover,Revenue,Cumulative_Revenue_Pct,ABC_Class,Deadstock_Risk,Value_Tied_Up,Safety_Stock,Reorder_Point,Reorder_Now
S005 | P0015,S005,P0015,149.24623803009575,115.67931391279532,109099,277.90697674418607,56.107701778385774,731,Toys,408,196.0183854294856,2.7337372478207866,6121294.15632011,0.011130016437263928,A,False,22891.942325581396,191.0,340.0,False
S003 | P0013,S003,P0013,147.03009575923392,112.60350695220833,107479,285.26128590971274,55.95893296853625,731,Groceries,388,188.12922609171036,2.6389155090761918,6014410.156525308,0.022065691507454622,A,False,21712.065991792068,186.0,333.0,False
S002 | P0020,S002,P0020,144.10807113543092,113.53653966400911,105343,276.30916552667577,56.87057455540356,731,Electronics,284,190.36446316998547,1.970743191289407,5990916.935389877,0.03295865013064503,A,False,16151.24317373461,187.0,331.0,True
S003 | P0014,S003,P0014,143.89603283173736,113.02368583435276,105188,290.8659370725034,55.805362517099866,731,Clothing,230,180.57133988326757,1.5983762406358137,5870054.472448701,0.04363185110703217,A,False,12835.23337893297,186.0,330.0,True
S002 | P0009,S002,P0009,144.1532147742818,112.42161860021477,105376,282.94801641586866,55.47526675786593,731,Toys,62,185.95614862088135,0.4300979350136654,5845761.70987688,0.05426088187368486,A,False,3439.4665389876877,185.0,329.0,True
S005 | P0003,S005,P0003,144.55129958960327,111.92577546777223,105667,283.99452804377563,54.74887824897401,731,Toys,98,185.78253853564547,0.677960006435311,5785149.7179343365,0.0647797051499951,A,False,5365.3900683994525,185.0,330.0,True
S004 | P0016,S004,P0016,143.33378932968537,107.6979957802064,104777,280.2722298221614,55.0512585499316,731,Furniture,314,186.66434822504993,2.19069070502114,5768105.717086184,0.0752675382460016,A,False,17286.095184678525,178.0,321.0,True
S004 | P0014,S004,P0014,142.13953488372093,110.99633319527744,103904,282.3515731874145,55.50711354309165,731,Furniture,386,183.74585148183857,2.7156413612565444,5767411.125581395,0.08575410840402996,A,False,21425.745827633375,183.0,325.0,False
S004 | P0011,S004,P0011,139.7387140902873,106.62313027727609,102149,271.7250341997264,56.35678522571819,731,Electronics,155,187.70677789468917,1.1092130123642914,5756789.254021888,0.09622136539036083,A,False,8735.30170998632,176.0,316.0,True
S003 | P0007,S003,P0007,138.8016415868673,110.78787727331068,101464,279.9753761969904,56.67221614227086,731,Electronics,108,180.95376767548447,0.778088780257037,5750189.738659371,0.10667662283662925,A,False,6120.599343365253,183.0,322.0,True
S003 | P0006,S003,P0006,139.7715458276334,114.09931295432166,102173,277.81942544459645,56.278796169630645,731,Furniture,451,183.6322789360173,3.2266939406692567,5750173.441039672,0.11713185064982164,A,True,25381.73707250342,188.0,328.0,False
S002 | P0011,S002,P0011,135.62927496580028,108.68977175552503,99145,269.3488372093023,57.95499316005472,731,Electronics,156,183.79394496531128,1.1501941600685863,5745947.796853625,0.12757939520387834,A,False,9040.978932968535,179.0,315.0,True
S003 | P0019,S003,P0019,142.9876880984952,111.19987489640695,104524,277.96853625170996,54.95452804377565,731,Furniture,253,187.7568837815891,1.7693831081856801,5744067.089247607,0.1380235201695222,A,False,13903.495595075241,183.0,326.0,True
S003 | P0005,S003,P0005,144.1969904240766,109.33996019314995,105408,277.56634746922026,54.43176470588236,731,Toys,411,189.61917388282953,2.8502675318761383,5737543.454117647,0.14845578356400593,A,True,22371.455294117648,180.0,324.0,False
S001 | P0004,S001,P0004,140.90424076607388,113.6441170415594,103001,275.90697674418607,55.605991792065666,731,Electronics,338,186.40357879497046,2.3987922447354877,5727472.760574556,0.15886973596381976,A,False,18794.825225718196,188.0,329.0,False
S003 | P0011,S003,P0011,138.703146374829,108.62368483850555,101392,274.6333789329685,56.45790697674419,731,Toys,137,184.34266302046754,0.9877209247277892,5724380.104186047,0.16927806515462582,A,False,7734.733255813954,179.0,318.0,True
S003 | P0017,S003,P0017,143.0451436388509,107.77586782433052,104566,277.15047879616964,54.51012311901505,731,Clothing,239,188.38674807623016,1.670801216456592,5699905.534062928,0.1796418935649092,A,False,13027.919425444597,178.0,321.0,True
S002 | P0001,S002,P0001,145.00547195622434,113.5742710234577,105999,278.343365253078,53.701709986320104,731,Groceries,415,190.1500228536042,2.8619609618958672,5692327.556839945,0.18999194335111422,A,True,22286.209644322844,187.0,332.0,False
S005 | P0011,S005,P0011,136.5581395348837,107.5099376041918,99824,279.13679890560877,57.01518467852257,731,Furniture,156,178.56377634783797,1.1423705722070845,5691483.795348837,0.2003404589716632,A,False,8894.368809849522,177.0,314.0,True
S004 | P0005,S004,P0005,137.22161422708618,107.08327382082236,100309,270.4500683994528,56.51782489740082,731,Furniture,217,185.1945887434939,1.5813835249080341,5669246.497633379,0.21064854172249983,A,False,12264.368002735979,177.0,314.0,True
S005 | P0014,S005,P0014,137.35841313269495,111.1665792869202,100409,273.1846785225718,56.296443228454166,731,Toys,328,183.52354555378622,2.387913434054716,5652669.568125854,0.22092648354346342,A,False,18465.233378932968,183.0,320.0,False
S003 | P0002,S003,P0002,142.74965800273597,111.97201942201693,104350,282.2831737346101,53.98410396716826,731,Groceries,388,184.5792807331269,2.718045040728318,5633241.248974008,0.2311690999077529,A,False,20945.832339261284,185.0,328.0,False
S001 | P0003,S001,P0003,141.4404924760602,107.21122514209723,103393,274.5430916552668,54.33708618331054,731,Clothing,69,188.04253803110254,0.4878376679272291,5618074.351751027,0.241384139127229,A,False,3749.2589466484274,177.0,318.0,True
S001 | P0020,S001,P0020,138.3638850889193,111.24549679398355,101144,276.0218878248974,55.541367989056084,731,Electronics,242,182.9667149059334,1.7490113106066598,5617676.123885089,0.25159845427062244,A,False,13441.011053351573,184.0,322.0,True
S002 | P0016,S002,P0016,138.24760601915185,108.40938507185744,101059,285.46648426812584,55.531792065663474,731,Clothing,258,176.7646255439054,1.8662167644643228,5611987.374363885,0.2618024258699774,A,False,14327.202352941176,179.0,317.0,True
S001 | P0018,S001,P0018,138.81668946648426,109.09711293085292,101475,282.5526675786594,55.28614227086183,731,Furniture,191,179.32264483456467,1.3759152500615917,5610161.286935704,0.27200307719381994,A,False,10559.65317373461,180.0,319.0,True
S005 | P0013,S005,P0013,139.32147742818057,107.31240690187924,101844,283.80711354309165,55.07261285909713,731,Toys,389,179.17922713929713,2.7921036094418916,5608815.184021887,0.2822012809719026,A,True,21423.246402188783,177.0,316.0,False
S005 | P0020,S005,P0020,138.6730506155951,111.1407158114971,101370,283.9015047879617,55.280013679890565,731,Toys,117,178.28599926758284,0.8437111571470849,5603734.986730507,0.292390247703388,A,False,6467.761600547196,183.0,322.0,True
S005 | P0005,S005,P0005,141.86456908344732,105.77498469281909,103703,276.77701778385773,53.966114911080716,731,Electronics,372,187.08405824321383,2.622219222201865,5596448.014623803,0.30256596492958016,A,False,20075.394746922026,175.0,317.0,False
S003 | P0020,S003,P0020,137.55403556771546,108.505985035326,100552,272.6511627906977,55.59103967168263,731,Toys,417,184.14454010877637,3.0315359217121487,5589790.221067032,0.31272957665163703,A,True,23181.463543091657,179.0,317.0,False
S005 | P0010,S005,P0010,137.55266757865937,109.45874760751558,100551,281.49931600547194,55.52404924760602,731,Groceries,308,178.3546915092139,2.239142325784925,5582998.675896033,0.32288083967626857,A,False,17101.407168262656,181.0,319.0,True
S005 | P0012,S005,P0012,134.65389876880985,108.37954260526632,98432,278.64432284541726,56.713556771545825,731,Clothing,495,176.38497906121586,3.6760911085825745,5582428.820136799,0.33303106656314796,A,True,28073.210601915183,179.0,314.0,False
S002 | P0018,S002,P0018,140.19425444596442,111.48600511636609,102482,272.02599179206567,54.40798905608755,731,Clothing,151,188.110343925854,1.077076950098554,5575839.534445965,0.343169312510021,A,False,8215.60634746922,184.0,324.0,True
S003 | P0009,S003,P0009,140.46785225718193,112.71413711169038,102682,280.16005471956225,54.2072366621067,731,Electronics,496,183.0052686318647,3.531057049921116,5566107.47493844,0.3532898631820843,A,True,26886.789384404925,186.0,326.0,False
S001 | P0014,S001,P0014,136.62106703146375,110.66719227478023,99870,270.89603283173733,55.52217510259918,731,Clothing,293,184.08054538568365,2.1446180034044255,5544999.62749658,0.36337203460247564,A,False,16267.997305061559,183.0,320.0,True
S002 | P0004,S002,P0004,138.4268125854993,108.64648488267214,101190,272.05882352941177,54.794582763337885,731,Groceries,133,185.7164047768699,0.9607965213953948,5544663.82982216,0.37345359546020807,A,False,7287.679507523939,179.0,317.0,True
S003 | P0016,S003,P0016,141.7797537619699,111.65492057297993,103641,277.9876880984952,53.48001367989056,731,Groceries,166,186.157921155067,1.1708300769000684,5542722.097797537,0.3835316257721444,A,False,8877.682270861833,184.0,326.0,True
S001 | P0017,S001,P0017,136.44870041039673,108.96537609105432,99744,285.6511627906977,55.53049247606019,731,Furniture,282,174.35173434349724,2.066710779595765,5538833.441532147,0.3936025855517639,A,False,15659.598878248973,180.0,316.0,True
S004 | P0001,S004,P0001,138.53625170998632,110.96888240446259,101270,270.7879616963064,54.69290013679891,731,Electronics,497,186.73552382973136,3.587508640268589,5538749.996853625,0.40367339360846016,A,True,27182.37136798906,183.0,322.0,False
S001 | P0008,S001,P0008,137.1326949384405,108.69904492649799,100244,269.9247606019152,55.131668946648425,731,Furniture,315,185.43476167549352,2.2970452096883602,5526619.021887825,0.4137221445727637,A,False,17366.475718194255,179.0,316.0,True
S001 | P0001,S001,P0001,137.3064295485636,108.18785893813579,100371,272.8248974008208,55.05737346101232,731,Groceries,223,183.69601624589464,1.62410457203774,5526163.631655267,0.42377006752576035,A,False,12277.794281805747,179.0,316.0,True
S005 | P0019,S005,P0019,135.05335157318743,108.6579963160057,98724,277.92612859097125,55.97362517099863,731,Furniture,374,177.36537969325278,2.769275961265751,5525940.171381669,0.4338175841730879,A,False,20934.13581395349,179.0,314.0,False
S005 | P0017,S005,P0017,137.28864569083447,108.61727514508995,100358,282.60191518467855,55.03718194254446,731,Groceries,313,177.31782052647375,2.279868072301162,5523421.505389877,0.4438605212669464,A,False,17226.637948016414,179.0,316.0,True
S005 | P0016,S005,P0016,139.29001367989056,111.57666150807475,101821,278.40492476060194,54.21588235294117,731,Groceries,96,182.61478325815423,0.6892094950943322,5520315.357058823,0.45389781062013135,A,False,5204.724705882352,184.0,323.0,True
S004 | P0008,S004,P0008,134.5704514363885,106.93720550026958,98371,273.2872777017784,56.100793433652534,731,Electronics,390,179.73106976418234,2.898110215409013,5518691.150861833,0.4639321467674732,A,True,21879.30943912449,176.0,311.0,False
S005 | P0007,S005,P0007,138.43775649794802,111.87697449345477,101198,278.19151846785223,54.504678522571815,731,Toys,59,181.6366703055695,0.4261843119429238,5515764.457127223,0.4739611614666798,A,False,3215.776032831737,185.0,323.0,True
S005 | P0009,S005,P0009,136.19425444596442,107.78041105896416,99558,272.25581395348837,55.371614227086184,731,Clothing,319,182.58894879383374,2.3422427127905343,5512687.169220246,0.4839845809005533,A,False,17663.544938440493,178.0,314.0,False
S001 | P0007,S001,P0007,137.8235294117647,111.19889766930544,100749,278.4117647058824,54.703529411764706,731,Electronics,256,180.68772448763994,1.8574477166026464,5511325.8847058825,0.4940055251847879,A,False,14004.103529411765,183.0,321.0,True
S004 | P0010,S004,P0010,137.79480164158687,111.13236104560265,100728,280.3871409028728,54.69833105335158,731,Toys,382,179.3773510340891,2.772238106584068,5509653.490341998,0.5040234286452548,A,True,20894.762462380302,183.0,321.0,False
S001 | P0015,S001,P0015,137.88645690834474,112.80404622056196,100795,277.484268125855,54.64704514363885,731,Electronics,356,181.37445092461584,2.5818344163897016,5508148.915253078,0.5140385964186198,A,False,19454.34807113543,186.0,324.0,False
S005 | P0004,S005,P0004,135.20656634746922,111.78194164252096,98836,269.69630642954854,55.665622435020516,731,Toys,158,182.98506705622174,1.168582297948116,5501767.458987688,0.5240421611369259,A,False,8795.168344733242,184.0,319.0,True
S002 | P0007,S002,P0007,137.62106703146375,112.77169344850438,100601,274.86046511627904,54.6489876880985,731,Clothing,53,182.7534179760406,0.38511545610878617,5497742.810410397,0.5340384080554864,A,False,2896.3963474692205,186.0,324.0,True
S003 | P0015,S003,P0015,138.3296853625171,108.01200812129186,101119,279.2722298221614,54.266142270861835,731,Furniture,270,180.79253776671825,1.9518587011343072,5487338.040287278,0.5440157365460905,A,False,14651.858413132695,178.0,316.0,True
S003 | P0010,S003,P0010,136.00820793433653,109.32285947490756,99422,265.29138166894666,55.109726402188784,731,Toys,413,187.1263046078957,3.0365814407274043,5479119.218358413,0.5539781211995211,A,True,22760.317004103967,180.0,316.0,False
S001 | P0010,S001,P0010,132.3611491108071,105.91637083958466,96756,274.8864569083447,56.620465116279064,731,Toys,167,175.75190851091358,1.2616995328455083,5478369.722790697,0.5639391430859002,A,False,9455.617674418603,175.0,307.0,True
S004 | P0012,S004,P0012,131.77428180574555,103.96000124190255,96327,268.75376196990425,56.86109439124487,731,Clothing,85,178.9653566392988,0.6450424076323358,5477258.639425444,0.5738981447497901,A,False,4833.193023255814,172.0,304.0,True
S005 | P0006,S005,P0006,135.25444596443228,107.17878210236412,98871,273.3611491108071,55.39536251709987,731,Groceries,491,180.59579035866022,3.6301949004258076,5476994.887428181,0.5838566668477597,A,True,27199.122995896036,177.0,312.0,False
S004 | P0019,S004,P0019,136.52257181942545,110.57376127090852,99798,272.4897400820793,54.860109439124486,731,Groceries,65,182.87198152517698,0.4761117457263672,5474929.201805745,0.5938114330218438,A,False,3565.907113543092,182.0,319.0,True
S002 | P0014,S002,P0014,134.406292749658,105.0137912081489,98251,272.16279069767444,55.67681258549931,731,Electronics,342,180.25350463179376,2.5445237198603574,5470302.513337893,0.6037577867397738,A,False,19041.469904240766,173.0,307.0,False
S003 | P0012,S003,P0012,137.52257181942545,111.9082328160302,100529,276.7674418604651,54.289179206566345,731,Groceries,108,181.36431936021194,0.7853256274308905,5457636.896456908,0.6136811112549773,A,False,5863.231354309165,185.0,323.0,True
S002 | P0005,S002,P0005,132.5718194254446,104.43645888526372,96910,271.0902872777018,56.30813953488372,731,Groceries,464,178.49667199886963,3.4999896811474565,5456821.802325581,0.6236029537288268,A,True,26126.976744186046,172.0,305.0,False
S004 | P0009,S004,P0009,134.59644322845418,112.50827641246958,98390,270.7318741450068,55.32694938440493,731,Furniture,115,181.46257042520404,0.8544059355625572,5443618.549931601,0.6335007894465203,A,False,6362.599179206567,186.0,321.0,True
S004 | P0017,S004,P0017,135.59917920656633,107.62738587880963,99123,271.98632010943913,54.87198358413132,731,Furniture,100,181.97128587379663,0.7374675907710623,5439075.628809849,0.6433903650176718,A,False,5487.198358413132,178.0,314.0,True
S004 | P0006,S004,P0006,141.10396716826264,108.43642224442635,103147,273.59781121751024,52.69305061559508,731,Clothing,364,188.243275,2.5796581577748263,5435130.0918467855,0.6532727666334256,A,False,19180.270424076607,179.0,320.0,False
S002 | P0010,S002,P0010,135.44733242134063,112.86893066737879,99012,272.5485636114911,54.85242134062928,731,Electronics,419,181.3925403924049,3.0934533187896416,5431047.941778386,0.6631477458975981,A,True,22983.16454172367,186.0,321.0,False
S001 | P0016,S001,P0016,132.9329685362517,107.53893029050003,97174,265.3939808481532,55.88120383036936,731,Electronics,74,182.82454395035128,0.556671537654105,5430200.101012312,0.6730211835789907,A,False,4135.209083447333,177.0,310.0,True
S004 | P0015,S004,P0015,137.70725034199725,108.20158350684117,100664,277.69083447332423,53.92797537619699,731,Groceries,56,181.0039804524316,0.4066597790669952,5428605.713269494,0.6828917222718145,A,False,3019.9666210670316,179.0,317.0,True
S001 | P0019,S001,P0019,134.73050615595076,109.54662427486042,98488,277.1422708618331,55.11626538987688,731,Clothing,149,177.44184095048647,1.105911380066607,5428290.745718194,0.6927616882762601,A,False,8212.323543091656,181.0,316.0,True
S002 | P0012,S002,P0012,140.25718194254446,111.77827643111473,102528,271.63064295485634,52.90084815321477,731,Groceries,193,188.46868988023894,1.3760436173533084,5423818.159452803,0.7026235220202098,A,False,10209.86369357045,184.0,324.0,True
S004 | P0004,S004,P0004,131.07250341997263,107.11691958827265,95814,270.1846785225718,56.54269493844049,731,Clothing,105,177.0694919115972,0.8010833489886656,5417581.772831737,0.7124740164813497,A,False,5936.982968536251,177.0,308.0,True
S002 | P0013,S002,P0013,134.22161422708618,106.21054367142533,98116,277.5512995896033,55.17993160054719,731,Electronics,472,176.51111439696388,3.5165722206367973,5414034.168919289,0.7223180605271279,A,True,26044.927715458274,175.0,309.0,False
S005 | P0008,S005,P0008,133.8700410396717,111.20045243513685,97859,274.70861833105334,55.26083447332421,731,Furniture,409,177.8705206860148,3.0552018720812595,5407770.000725034,0.7321507147763717,A,True,22601.6812995896,183.0,317.0,False
S004 | P0020,S004,P0020,135.83994528043775,106.71924678831598,99299,275.1080711354309,54.33715458276334,731,Electronics,249,180.2258284270825,1.833039607649624,5395625.112913817,0.7419612866362523,A,False,13529.951491108071,176.0,312.0,True
S005 | P0018,S005,P0018,134.15047879616964,109.7959966790991,98064,270.77428180574555,55.0003830369357,731,Toys,278,180.83299652412904,2.072299722630119,5393557.562134063,0.7517680991809331,A,False,15290.106484268124,181.0,315.0,True
S004 | P0002,S004,P0002,130.44870041039673,103.44434561018655,95358,269.37482900136797,56.290109439124485,731,Furniture,181,176.75658793477325,1.3875186140648923,5367712.255896033,0.7615279186101207,A,False,10188.509808481533,171.0,301.0,True
S005 | P0002,S005,P0002,134.3187414500684,105.80630230369552,98187,264.98358413132695,54.5744049247606,731,Furniture,253,185.01652013649763,1.8835792925743735,5358497.096347469,0.7712709826155976,A,False,13807.324445964432,175.0,309.0,True
S002 | P0003,S002,P0003,133.00547195622434,111.33821100723073,97227,273.89603283173733,55.012941176470584,731,Clothing,372,177.24607677631383,2.7968774105958225,5348743.231764706,0.7809963116992817,A,True,20464.814117647056,184.0,317.0,False
S003 | P0004,S003,P0004,132.2298221614227,104.88645778759336,96660,269.93570451436386,55.08593707250342,731,Electronics,415,178.79770731237616,3.138475067246017,5324606.67742818,0.7906777545981748,A,True,22860.663885088918,173.0,305.0,False
S001 | P0013,S001,P0013,132.87414500683994,109.16111268388767,97131,263.73050615595076,54.802900136798904,731,Groceries,356,183.8962948746544,2.679227023298432,5323060.4931874145,0.8003563861543068,B,False,19509.83244870041,180.0,313.0,False
S001 | P0009,S001,P0009,131.43638850889192,107.08680253328265,96080,270.5280437756498,55.40010943912449,731,Groceries,167,177.3357066283703,1.2705766028309742,5322842.514911082,0.8100346213723872,B,False,9251.81827633379,177.0,308.0,True
S003 | P0008,S003,P0008,133.87688098495212,109.75859512814928,97864,277.187414500684,54.294993160054716,731,Electronics,103,176.28888976626658,0.769363606637783,5313525.210615595,0.8196959154425157,B,False,5592.384295485635,181.0,315.0,True
S001 | P0002,S001,P0002,131.03830369357044,104.31321989990398,95789,272.66347469220244,55.45325581395349,731,Clothing,217,175.41396368598765,1.6560043428786189,5311811.921162791,0.8293540943315593,B,False,12033.356511627908,172.0,303.0,True
S003 | P0001,S003,P0001,129.4391244870041,106.35729419659694,94620,274.6812585499316,56.07571819425444,731,Groceries,138,172.0003785011355,1.066138237159163,5305884.455540355,0.839001495632053,B,False,7738.449110807113,175.0,304.0,True
S003 | P0018,S003,P0018,132.02051983584133,108.30291545553044,96507,269.781121751026,54.79538987688098,731,Electronics,375,178.61698189746974,2.840467530852684,5288138.690848153,0.8486166307731902,B,True,20548.27120383037,179.0,311.0,False
S001 | P0006,S001,P0006,130.6730506155951,109.01526133639567,95522,272.95348837209303,55.2903830369357,731,Groceries,305,174.73916072350386,2.3340696384079056,5281447.968454172,0.8582196005374773,B,False,16863.56682626539,180.0,311.0,True
S002 | P0006,S002,P0006,133.26675786593708,105.04498046477056,97418,270.12448700410397,54.17949384404925,731,Groceries,160,180.07388800826493,1.200599478535794,5278057.93129959,0.867816406381474,B,False,8668.71901504788,173.0,306.0,True
S002 | P0002,S002,P0002,128.78659370725035,106.05093573707896,94143,266.42544459644324,56.036757865937076,731,Electronics,364,176.4362513285787,2.8263811435794484,5275468.495772914,0.877408503995603,B,True,20397.379863201095,175.0,304.0,False
S002 | P0008,S002,P0008,128.8987688098495,106.8498402822629,94225,268.76607387140905,55.95887824897401,731,Clothing,218,175.0520440987845,1.6912496683470417,5272725.303009576,0.8869956138114387,B,False,12199.035458276334,176.0,305.0,True
S001 | P0011,S001,P0011,132.4924760601915,109.90265124887547,96852,269.1942544459644,54.38160054719562,731,Toys,449,179.64630731625513,3.3888716805022097,5266966.77619699,0.8965722532109798,B,True,24417.338645690834,181.0,313.0,False
S002 | P0019,S002,P0019,131.82626538987688,107.4316025524728,96365,267.09986320109437,54.48688098495212,731,Clothing,409,180.1445582586428,3.1025683598816998,5250628.286114912,0.9061191852220944,B,True,22285.134322845417,177.0,309.0,False
